game,2023-07-07 14:00:00,2023-07-07 19:00:00,2023-07-07 21:00:00,2023-07-08 08:00:00,2023-07-08 10:00:00,2023-07-08 12:00:00,2023-07-14 14:00:00,2023-07-15 13:00:00,2023-07-16 09:00:00,2023-07-16 12:00:00,2023-07-16 21:00:00,2023-07-21 12:00:00,2023-07-21 15:00:00,2023-07-21 18:00:00,2023-07-21 21:00:00,2023-07-22 09:00:00,2023-07-22 12:00:00,2023-07-22 15:00:00,2023-07-22 21:00:00,2023-07-23 12:00:00,2023-07-23 15:00:00,2023-07-23 18:00:00,2023-07-23 21:00:00,2023-07-24 09:00:00,2023-07-24 12:00:00,2023-07-24 15:00:00,2023-07-24 18:00:00,2023-07-24 21:00:00
Lost Ark,8626.0,,,5059.0,7710.0,7739.0,73917.0,13514.0,7213.0,11418.0,,10616.0,13656.0,11220.0,9939.0,11680.0,9345.0,8503.0,,14720.0,15107.0,10747.0,7177.0,6594.0,12047.0,10036.0,9375.0,7212.0
FINAL FANTASY XVI,8354.0,7539.0,11241.0,7017.0,5405.0,11003.0,5378.0,,,,,,,5950.0,,,9413.0,,,,,5869.0,,,,,5916.0,
Dave the Diver,7972.0,11025.0,7862.0,,,3776.0,10333.0,6208.0,4307.0,7701.0,,4690.0,4744.0,7994.0,28251.0,5321.0,3930.0,,,,,6796.0,,,,5039.0,,
World of Tanks,7974.0,20667.0,19805.0,,4949.0,6700.0,9617.0,11526.0,5060.0,9397.0,17002.0,6235.0,13916.0,32229.0,32780.0,8013.0,12649.0,15063.0,20568.0,8171.0,9392.0,14512.0,16644.0,3955.0,7246.0,14025.0,33404.0,36416.0
Rocket League,7294.0,78900.0,90396.0,4008.0,3697.0,5667.0,5890.0,5351.0,7187.0,3910.0,12520.0,3551.0,,,8566.0,8032.0,5717.0,10063.0,6254.0,,,,6786.0,5020.0,4175.0,5422.0,8176.0,11447.0
Grounded,7453.0,16875.0,17091.0,,,,,,,,,,,,,,,,,,,,,,,,,
Persona 5 Royal,6764.0,,,,,5054.0,,,,,,,,,,,,,,,,,,,,,,
Tekken 7,6384.0,6982.0,,,,,,,,,,,,,,,,,,,5962.0,,,,,,,
DayZ,5492.0,7372.0,9329.0,4207.0,3418.0,3548.0,4574.0,7277.0,,,9178.0,3149.0,4526.0,6494.0,9964.0,4201.0,,4774.0,8054.0,7521.0,10302.0,8783.0,7176.0,3299.0,2841.0,6931.0,8520.0,12217.0
Sally Face,5438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old School RuneScape,5416.0,6583.0,,3881.0,2601.0,,4913.0,4150.0,4117.0,3299.0,10560.0,,6677.0,6234.0,8418.0,,3428.0,5725.0,6283.0,,,,9047.0,,,6402.0,11174.0,10900.0
Honkai: Star Rail,5207.0,,,,,8575.0,,,,,,9997.0,15479.0,23225.0,9590.0,7323.0,8940.0,17139.0,,7117.0,11105.0,17088.0,8090.0,5316.0,3822.0,9493.0,12479.0,9471.0
Choo-Choo Charles,5138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of Duty: Modern Warfare II,4655.0,6474.0,11124.0,11489.0,8082.0,5886.0,6861.0,3834.0,9201.0,10103.0,12406.0,4951.0,5393.0,6971.0,9075.0,11174.0,7191.0,5373.0,10598.0,6346.0,5626.0,7384.0,14050.0,8957.0,5185.0,5578.0,7207.0,10669.0
StarCraft II,4848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Clancy's Rainbow Six Siege,4528.0,6471.0,8166.0,5496.0,5067.0,4041.0,18085.0,3664.0,4699.0,3646.0,12836.0,3091.0,,6273.0,7502.0,6266.0,4782.0,4363.0,8285.0,4745.0,,7023.0,8491.0,4457.0,3145.0,3880.0,5349.0,8237.0
Destiny 2,4073.0,14318.0,13865.0,5841.0,4461.0,4343.0,4197.0,3414.0,4914.0,3450.0,6853.0,,6749.0,13276.0,10043.0,5572.0,3350.0,,8476.0,4075.0,,6639.0,8833.0,4131.0,4485.0,5332.0,7303.0,
Mr. Gimmick,4066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wo Long: Fallen Dynasty,4025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Days to Die,3736.0,,,4289.0,4769.0,4849.0,,4147.0,6314.0,,,,,,6457.0,,,,6527.0,,,,8464.0,,,,6267.0,7200.0
Hunt: Showdown,3981.0,5904.0,12214.0,,,4452.0,6724.0,5292.0,,,6135.0,,,,,,6252.0,3429.0,,,,6597.0,,,2913.0,7209.0,5708.0,6710.0
Baldur's Gate 3,,40703.0,,,,,,,,,23115.0,,15148.0,,,,,,,,,,,,,,,
Sekiro: Shadows Die Twice,,11283.0,12100.0,,,3492.0,,,,,14250.0,,,,,,,,,,,,,,,,,
Until Dawn,,9145.0,9808.0,,,,,,,,,,,,,,,,,,,,,,,,,
Everybody 1-2-Switch,,8399.0,,,,,,,,,,,5442.0,7005.0,,,,,,,,,,,,,,
Super Mario World,,6572.0,,,,,,,,,,,,,,,,,,,,,,,,,6435.0,
Super Mario 64,,5963.0,,,3756.0,3444.0,,,,,,,,,,,,,,,,,,,,,,
Yu-Gi-Oh! Master Duel,,6155.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Trackmania,,7009.0,7638.0,,,,,,,,10207.0,,,,,,,,,,,,,,,,9336.0,8935.0
PowerWash Simulator,,5282.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Journey to the West,,5317.0,,,,,,,,,,,,,,,,,,,,,,,,,,
The Elder Scrolls Online,,,22870.0,,,,,,,,,3806.0,,3706.0,19296.0,,,7592.0,,,7152.0,10232.0,,,,,,
Warhammer Age of Sigmar: Realms of Ruin,,,18869.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLB The Show 23,,,8618.0,5187.0,3480.0,,,,,,,,,,,,,,,,,,,,,,,
Six Days in Fallujah,,,11919.0,,,,,,,,,,,,,,,,,,,,,,,,,
Star Citizen,,,12293.0,,,,,,,,,,,,,,,,,,,,,,,,,
Far Cry: Primal,,,11604.0,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Drink,,,8336.0,4099.0,,,,3530.0,4806.0,,,,4627.0,,21653.0,,,,,,,,,,,,,
Jackbox Party Packs,,,9008.0,,,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Zelda: Tears of the Kingdom,,,7557.0,4616.0,3416.0,,,,,,,,,,,,,,,,,,9952.0,,,,,
Grand Theft Auto,,,,7291.0,,,,,,,,,,,,6639.0,,,,,,,,,,,,
ROBLOX,,,,4496.0,3005.0,,,,3574.0,,,2953.0,,,,,,,,,,,,4665.0,2825.0,,,
NBA 2K23,,,,4568.0,4246.0,,,,6366.0,3182.0,,,,,,4370.0,,,,,,,,3739.0,2635.0,,,
The Isle,,,,4608.0,12203.0,10124.0,,,,,,,,,,,,,,,,,,,,,,
Conan Exiles,,,,399.0,,,,,,,,,,,,6714.0,,,,,,,,,,,,
Five Nights at Freddy's: Security Breach,,,,4199.0,3635.0,,,,,,,,,,,,,,,,,,,,,,,
Eternal Return,,,,4248.0,4613.0,4719.0,,,3476.0,,,6998.0,8160.0,16019.0,,4862.0,4221.0,4711.0,6867.0,7166.0,7016.0,,6931.0,8022.0,7300.0,9638.0,10977.0,13844.0
Ghost Trick: Phantom Detective,,,,3397.0,,,,,,,,,,,,,,,,,,,,,,,,
American Truck Simulator,,,,3367.0,,,,,,,,,,,,,,,,,,,,,,,,
Doki Doki Literature Club!,,,,4816.0,,,,,,,,,,,,,,,,,,,,,,,,
Summoners War: Sky Arena,,,,3495.0,,,,,,,,,,,,,,,,,,,,,,,,
Batman: The Telltale Series,,,,,55060.0,,,,,,,,,,,,,,,,,,,,,,,
Halls of Torment,,,,,19912.0,,5611.0,,,,,,,,,,,,,,,,,,,,,
The Last Hope: Dead Zone Survival,,,,,6027.0,,,,,,,,,,,,,,,,,,,,,,,
Fall Guys,,,,,4249.0,15763.0,,,,3158.0,,,,,,,,,,1568.0,7025.0,,13910.0,,1446.0,4029.0,,
ELDEN RING,,,,,3778.0,3749.0,,6805.0,,3886.0,7516.0,4644.0,6974.0,10382.0,9898.0,5211.0,6053.0,9494.0,6279.0,10093.0,11281.0,12482.0,,7889.0,8333.0,11199.0,7230.0,9995.0
Among Us,,,,,,9550.0,,,,,,,,,,,,,,,,,,,,,,
Clash Royale,,,,,,6071.0,,,,,,,,,,,,,,,,,,,,,,
Pokémon HeartGold/SoulSilver,,,,,,3101.0,,,,,,,,,,,,,,,,,,,,,,
NARAKA: BLADEPOINT,,,,,,,13279.0,6875.0,8145.0,8733.0,15335.0,,,10823.0,,6035.0,3784.0,,,3217.0,,,,4540.0,4352.0,,,
Fear & Hunger 2: Termina,,,,,,,11049.0,,,,,,,,,,,,,,,,,,,,,
Raft,,,,,,,10544.0,,,,,,,,,,,,,,,,,,,,,
Exoprimal,,,,,,,10305.0,,3898.0,,,,,,,,,,19080.0,,,,,,,,,
STALCRAFT,,,,,,,8355.0,8141.0,5253.0,6444.0,6973.0,5642.0,4978.0,,,2543.0,,,,,,,,,2925.0,3863.0,,
Harry Potter: Magic Awakened,,,,,,,6344.0,,,,,,,,,,,,,,,,,,,,,
Squad,,,,,,,6211.0,,,,,,,,,,,,,,,,,,,,,
Jagged Alliance 3,,,,,,,5842.0,9198.0,5159.0,6948.0,9271.0,,6497.0,8105.0,,,,,,,16487.0,2673.0,,,,4875.0,6620.0,
The Evil Within,,,,,,,5466.0,4825.0,,,,,,,,,,,,,,,,,,,,
Dofus,,,,,,,4673.0,,,,,,,,,,,,,,,,,,,,,
Spelunky 2,,,,,,,4423.0,,,,,,,,,,,,,,,,,,,,,
Welcome to the Game II,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
Mir Tankov,,,,,,,,5078.0,,4420.0,,,,,,,,,,,,,,,,,,
Super Mario Maker 2,,,,,,,,5449.0,,,,,,,,,,,,,,,,,,,,
Metal Gear Solid: Peace Walker - HD Edition,,,,,,,,5043.0,,4316.0,,,,,,,,,,,,,,,,,,
Brotato,,,,,,,,4258.0,,,,,,,,,,,,,,,,,,,,
KartRider: Drift,,,,,,,,3070.0,,,,,,,,,6110.0,,,4414.0,,,,,,,,
Resident Evil 2,,,,,,,,,18181.0,,,,,,,,,,,,,,,,,,,
Kuru Kuru Kururin,,,,,,,,,10016.0,,,,,,,,,,,,,,,,,,,
The Bookwalker: Thief of Tales,,,,,,,,,9699.0,,,,,,,,,,,,,,,,,,,
Team Fortress 2,,,,,,,,,4008.0,,,,,,,,,,,,,,,,,,,
RimWorld,,,,,,,,,3804.0,3491.0,,,,,,,,,,,,,,,,,,
They Are Billions,,,,,,,,,3912.0,4026.0,9553.0,,,,,,,,,,,,,,,3859.0,,
FINAL FANTASY XIV ONLINE,,,,,,,,,3222.0,,7044.0,,,6301.0,6480.0,,,,7166.0,5072.0,,,,,,,5058.0,9452.0
Xenoblade Chronicles 3,,,,,,,,,,7218.0,,,,,,,,,,,,,,,,,,
FIFA Online 4,,,,,,,,,,7224.0,,,,,,,8359.0,10827.0,,,25769.0,,,,,,,
Weed Shop 3,,,,,,,,,,6570.0,,,,,,,,,,,,,,,,,,
Yet Another Zombie Survivors,,,,,,,,,,4964.0,,,,,,,,,,,,,,,,,,
Guilty Gear: Strive,,,,,,,,,,4413.0,,,,,,,,,,,,,,,,,,
Mario Kart 8 Deluxe,,,,,,,,,,,50552.0,,,,,,,,,,,,,,,,,
Sons of the Forest,,,,,,,,,,,31045.0,,,,,,,,,,,,,,,,,
Brick Rigs,,,,,,,,,,,18797.0,,,,,,,,,,,,,,,,,
F1 23,,,,,,,,,,,14288.0,,,,,,,,8742.0,,,,13138.0,,,,6752.0,8720.0
ARK: Survival Evolved,,,,,,,,,,,8950.0,,,,6627.0,,,6594.0,13193.0,,,,11225.0,,,,,6014.0
